,0,1,2,3,4
STED-10,0.7704051673517323,0.7592483852025836,0.7798003523194363,0.708162066940693,0.7680563711098062
STED-25,0.8373458602466236,0.8532002348796242,0.82031708749266,0.813270698766882,0.8473282442748091
STED-50,0.8966529653552554,0.8860833822665883,0.8890193775689958,0.8620082207868467,0.91015854374633
STED-100,0.9448032883147387,0.9307105108631826,0.9618320610687023,0.9512624779800353,0.9559600704638873
STED-Full,0.992953611274222,0.9923664122137404,0.9947152084556665,0.994128009395185,0.9947152084556665
SIM-10,0.7187316500293599,0.724603640634175,0.7345860246623606,0.7298884321785085,0.7345860246623606
SIM-25,0.7815619495008808,0.7645331767469172,0.7733411626541398,0.7809747504403993,0.7686435701702877
SIM-50,0.8185554903112156,0.8291250733998825,0.8326482677627716,0.8126834997064005,0.8314738696418086
SIM-100,0.9013505578391074,0.8625954198473282,0.896065766294774,0.8614210217263653,0.8866705813270699
SIM-Full,0.9806224310041104,0.991779213153259,0.9765120375807399,0.9911920140927775,0.9894304169113329
HPA-10,0.7011156782149148,0.7011156782149148,0.7228420434527305,0.7510275983558427,0.7163828537874339
HPA-25,0.7897827363476219,0.7839107457428068,0.7897827363476219,0.7645331767469172,0.7674691720493247
HPA-50,0.8485026423957722,0.8467410452143277,0.8502642395772166,0.8520258367586612,0.8379330593071052
HPA-100,0.9260129183793306,0.8931297709923665,0.9201409277745156,0.9224897240164416,0.9060481503229595
HPA-Full,0.9876688197298884,0.9888432178508514,0.9876688197298884,0.9864944216089254,0.991779213153259
JUMP-10,0.6811509101585438,0.6858485026423957,0.6805637110980622,0.6881972988843218,0.6840869054609513
JUMP-25,0.7345860246623606,0.7240164415736935,0.7310628302994715,0.7381092190252495,0.7310628302994715
JUMP-50,0.806224310041104,0.82031708749266,0.8044627128596594,0.7980035231943629,0.8091603053435115
JUMP-100,0.904286553141515,0.914856136230182,0.8966529653552554,0.907809747504404,0.8919553728714034
JUMP-Full,0.9964768056371109,0.991779213153259,0.9970640046975925,0.991779213153259,0.9817968291250734
ImageNet-10,0.5725190839694656,0.5678214914856137,0.5772166764533176,0.5513799177921316,0.5731062830299471
ImageNet-25,0.6306517909571344,0.6077510275983559,0.6059894304169113,0.6065766294773929,0.6159718144450969
ImageNet-50,0.6911332941867293,0.6770405167351732,0.6970052847915443,0.6676453317674692,0.7052260716382853
ImageNet-100,0.7163828537874339,0.7751027598355843,0.7522019964768056,0.7058132706987669,0.7522019964768056
ImageNet-Full,0.9618320610687023,0.9630064591896653,0.9571344685848503,0.9618320610687023,0.9224897240164416
from-scratch-10,0.5114503816793893,0.48209042865531415,0.49559600704638873,0.49911920140927774,0.5091015854374633
from-scratch-25,0.5860246623605402,0.5977686435701702,0.5989430416911333,0.559013505578391,0.5478567234292425
from-scratch-50,0.632413388138579,0.6065766294773929,0.6106870229007634,0.6318261890780975,0.6335877862595419
from-scratch-100,0.6741045214327657,0.6470933646506165,0.6793893129770993,0.6553141514973576,0.6165590135055784
from-scratch-Full,0.8954785672342924,0.9236641221374046,0.9336465061655901,0.9412800939518496,0.9442160892542572
