,ImageNet-50,JUMP-50,HPA-50,SIM-50,STED-50
ImageNet-50,1.0,0.0466988372643963,0.03869430557100332,0.07245639037335934,0.00031567737417223036
JUMP-50,0.0466988372643963,1.0,0.3135145467231685,0.4823829020325924,0.0041682593662792835
HPA-50,0.03869430557100332,0.3135145467231685,1.0,0.5874029339485821,0.0041682593662792835
SIM-50,0.07245639037335934,0.4823829020325924,0.5874029339485821,1.0,0.0041682593662792835
STED-50,0.00031567737417223036,0.0041682593662792835,0.0041682593662792835,0.0041682593662792835,1.0
