,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.3135,0.2477,0.7943,0.0089,0.0072,0.0071,0.0077,0.0078,0.0054,0.0075,0.0078,0.0072,0.0038,0.0074,0.0066,0.0082,0.0083,0.0062,0.0076,0.008,0.0073,0.0073,0.008,0.0063
STED-25,0.3135,-1.0,0.9759,0.3177,0.0084,0.0406,0.0241,0.0237,0.0629,0.0022,0.1382,0.0652,0.0645,0.2388,0.0031,0.0496,0.0226,0.0309,0.0704,0.0029,0.0075,0.0079,0.0069,0.0079,0.146
STED-50,0.2477,0.9759,-1.0,0.2481,0.008,0.0137,0.0282,0.0247,0.0491,0.0015,0.1153,0.0505,0.0416,0.2488,0.0018,0.0237,0.0219,0.021,0.0691,0.0031,0.0071,0.0077,0.0086,0.0068,0.1065
STED-100,0.7943,0.3177,0.2481,-1.0,0.0091,0.005,0.0063,0.0132,0.0204,0.0042,0.0292,0.015,0.0164,0.0361,0.0068,0.0048,0.0059,0.0045,0.0205,0.0064,0.0048,0.0038,0.0066,0.0079,0.0244
STED-Full,0.0089,0.0084,0.008,0.0091,-1.0,0.0082,0.0062,0.0078,0.0079,0.008,0.0074,0.0063,0.0074,0.0085,0.0086,0.0074,0.008,0.0086,0.0078,0.0081,0.0084,0.0075,0.0066,0.0084,0.0072
SIM-10,0.0072,0.0406,0.0137,0.005,0.0082,-1.0,0.9837,0.9913,0.1504,0.0051,0.0223,0.4953,0.6496,0.0367,0.0061,0.2221,0.682,0.6758,0.3982,0.0072,0.0069,0.0064,0.0072,0.0068,0.0043
SIM-25,0.0071,0.0241,0.0282,0.0063,0.0062,0.9837,-1.0,1.0,0.2117,0.0053,0.0412,0.5636,0.7122,0.0383,0.0071,0.453,0.6869,0.6813,0.4636,0.0077,0.0061,0.0058,0.0076,0.0083,0.0039
SIM-50,0.0077,0.0237,0.0247,0.0132,0.0078,0.9913,1.0,-1.0,0.3048,0.004,0.0932,0.6056,0.7187,0.064,0.0067,0.5579,0.7198,0.746,0.4942,0.0081,0.0074,0.0069,0.0081,0.008,0.0494
SIM-100,0.0078,0.0629,0.0491,0.0204,0.0079,0.1504,0.2117,0.3048,-1.0,0.0044,0.3585,0.7451,0.6353,0.2745,0.006,0.3947,0.2283,0.2051,0.8273,0.0066,0.0072,0.0074,0.0078,0.0061,0.1808
SIM-Full,0.0054,0.0022,0.0015,0.0042,0.008,0.0051,0.0053,0.004,0.0044,-1.0,0.0045,0.0039,0.0047,0.0027,0.623,0.0063,0.0038,0.004,0.0041,0.0052,0.005,0.0061,0.0047,0.0051,0.0057
HPA-10,0.0075,0.1382,0.1153,0.0292,0.0074,0.0223,0.0412,0.0932,0.3585,0.0045,-1.0,0.3197,0.2645,0.6746,0.0065,0.0762,0.0589,0.0799,0.3505,0.0079,0.0016,0.002,0.0065,0.0032,0.7809
HPA-25,0.0078,0.0652,0.0505,0.015,0.0063,0.4953,0.5636,0.6056,0.7451,0.0039,0.3197,-1.0,0.8382,0.2202,0.0073,0.8696,0.4284,0.415,0.9177,0.0068,0.0084,0.0073,0.0074,0.0074,0.1956
HPA-50,0.0072,0.0645,0.0416,0.0164,0.0074,0.6496,0.7122,0.7187,0.6353,0.0047,0.2645,0.8382,-1.0,0.181,0.0079,0.9595,0.5469,0.5009,0.7902,0.0074,0.0052,0.0066,0.0096,0.0044,0.1199
HPA-100,0.0038,0.2388,0.2488,0.0361,0.0085,0.0367,0.0383,0.064,0.2745,0.0027,0.6746,0.2202,0.181,-1.0,0.005,0.0617,0.0521,0.0491,0.2378,0.0045,0.0073,0.0084,0.0084,0.0091,0.8177
HPA-Full,0.0074,0.0031,0.0018,0.0068,0.0086,0.0061,0.0071,0.0067,0.006,0.623,0.0065,0.0073,0.0079,0.005,-1.0,0.0053,0.0073,0.0073,0.0071,0.0064,0.0064,0.006,0.0074,0.0075,0.009
JUMP-10,0.0066,0.0496,0.0237,0.0048,0.0074,0.2221,0.453,0.5579,0.3947,0.0063,0.0762,0.8696,0.9595,0.0617,0.0053,-1.0,0.3614,0.3868,0.7461,0.007,0.0076,0.0066,0.0073,0.0078,0.0111
JUMP-25,0.0082,0.0226,0.0219,0.0059,0.008,0.682,0.6869,0.7198,0.2283,0.0038,0.0589,0.4284,0.5469,0.0521,0.0073,0.3614,-1.0,0.9588,0.3377,0.0086,0.0057,0.0066,0.007,0.0074,0.028
JUMP-50,0.0083,0.0309,0.021,0.0045,0.0086,0.6758,0.6813,0.746,0.2051,0.004,0.0799,0.415,0.5009,0.0491,0.0073,0.3868,0.9588,-1.0,0.352,0.009,0.0077,0.0077,0.0065,0.0062,0.0022
JUMP-100,0.0062,0.0704,0.0691,0.0205,0.0078,0.3982,0.4636,0.4942,0.8273,0.0041,0.3505,0.9177,0.7902,0.2378,0.0071,0.7461,0.3377,0.352,-1.0,0.0063,0.0034,0.0024,0.0057,0.0036,0.2655
JUMP-Full,0.0076,0.0029,0.0031,0.0064,0.0081,0.0072,0.0077,0.0081,0.0066,0.0052,0.0079,0.0068,0.0074,0.0045,0.0064,0.007,0.0086,0.009,0.0063,-1.0,0.0076,0.0081,0.0074,0.0089,0.0087
ImageNet-10,0.008,0.0075,0.0071,0.0048,0.0084,0.0069,0.0061,0.0074,0.0072,0.005,0.0016,0.0084,0.0052,0.0073,0.0064,0.0076,0.0057,0.0077,0.0034,0.0076,-1.0,0.0078,0.0081,0.0082,0.003
ImageNet-25,0.0073,0.0079,0.0077,0.0038,0.0075,0.0064,0.0058,0.0069,0.0074,0.0061,0.002,0.0073,0.0066,0.0084,0.006,0.0066,0.0066,0.0077,0.0024,0.0081,0.0078,-1.0,0.5782,0.8811,0.0035
ImageNet-50,0.0073,0.0069,0.0086,0.0066,0.0066,0.0072,0.0076,0.0081,0.0078,0.0047,0.0065,0.0074,0.0096,0.0084,0.0074,0.0073,0.007,0.0065,0.0057,0.0074,0.0081,0.5782,-1.0,0.4711,0.0067
ImageNet-100,0.008,0.0079,0.0068,0.0079,0.0084,0.0068,0.0083,0.008,0.0061,0.0051,0.0032,0.0074,0.0044,0.0091,0.0075,0.0078,0.0074,0.0062,0.0036,0.0089,0.0082,0.8811,0.4711,-1.0,0.0043
ImageNet-Full,0.0063,0.146,0.1065,0.0244,0.0072,0.0043,0.0039,0.0494,0.1808,0.0057,0.7809,0.1956,0.1199,0.8177,0.009,0.0111,0.028,0.0022,0.2655,0.0087,0.003,0.0035,0.0067,0.0043,-1.0
