,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
ImageNet-10,0.0081,0.0082,0.0077,0.0088,0.0079,0.0068,0.0082,0.0069,0.0088,0.0038,0.01,0.0091,0.0062,0.0088,0.0077,0.0078,0.004,0.0078,0.0075,0.007,-1.0,0.0071,0.0055,0.0089,0.0077,0.017,0.0012,0.0024,0.0621,0.0075
ImageNet-25,0.0076,0.0098,0.006,0.0092,0.0085,0.0042,0.0073,0.0049,0.0084,0.0024,0.0062,0.0088,0.0104,0.0088,0.0071,0.009,0.0026,0.0077,0.0079,0.0038,0.0071,-1.0,0.0078,0.0083,0.0073,0.0064,0.002,0.0062,0.0049,0.0084
ImageNet-50,0.009,0.0089,0.0086,0.0074,0.009,0.0067,0.007,0.0038,0.0084,0.0037,0.0082,0.0086,0.0083,0.0085,0.0076,0.0083,0.0029,0.0087,0.0078,0.005,0.0055,0.0078,-1.0,0.0064,0.0083,0.0076,0.002,0.0063,0.0052,0.1345
ImageNet-100,0.0403,0.008,0.0062,0.0063,0.008,0.887,0.0083,0.0038,0.0094,0.0024,0.8896,0.0054,0.0066,0.0066,0.0057,0.0139,0.0017,0.008,0.0066,0.0039,0.0089,0.0083,0.0064,-1.0,0.0065,0.0083,0.003,0.0095,0.0063,0.0029
ImageNet-Full,0.0024,0.3495,0.7486,0.0196,0.0087,0.007,0.0085,0.9382,0.0078,0.0042,0.0008,0.1822,0.0079,0.0084,0.0069,0.0069,0.0028,0.0093,0.0091,0.004,0.0077,0.0073,0.0083,0.0065,-1.0,0.0088,0.0029,0.0077,0.0074,0.0038
from-scratch-10,0.0094,0.0072,0.007,0.0058,0.0076,0.0061,0.0093,0.0064,0.0085,0.0038,0.008,0.0081,0.0079,0.0088,0.0077,0.0074,0.002,0.0089,0.0096,0.0068,0.017,0.0064,0.0076,0.0083,0.0088,-1.0,0.0577,0.03,0.5446,0.0078
from-scratch-25,0.0061,0.007,0.0028,0.0033,0.0036,0.0024,0.0031,0.0023,0.0043,0.0013,0.0068,0.0045,0.0039,0.0065,0.0032,0.0041,0.0011,0.0047,0.005,0.0008,0.0012,0.002,0.002,0.003,0.0029,0.0577,-1.0,0.5578,0.6478,0.0055
from-scratch-50,0.009,0.0078,0.0071,0.0077,0.0088,0.0046,0.009,0.0037,0.0074,0.0043,0.009,0.0086,0.0083,0.0076,0.0067,0.0086,0.0018,0.0087,0.009,0.004,0.0024,0.0062,0.0063,0.0095,0.0077,0.03,0.5578,-1.0,0.4359,0.0073
from-scratch-100,0.0075,0.0082,0.0038,0.0075,0.0069,0.0051,0.0077,0.0037,0.0066,0.0019,0.0088,0.0056,0.0073,0.0075,0.0064,0.0056,0.0016,0.0074,0.0071,0.0032,0.0621,0.0049,0.0052,0.0063,0.0074,0.5446,0.6478,0.4359,-1.0,0.0066
from-scratch-Full,0.0049,0.0066,0.0037,0.004,0.0047,0.0074,0.0028,0.0019,0.0054,0.0016,0.0143,0.0052,0.0037,0.0055,0.0034,0.0044,0.0009,0.0052,0.0037,0.0022,0.0075,0.0084,0.1345,0.0029,0.0038,0.0078,0.0055,0.0073,0.0066,-1.0
