,from-scratch-10,ImageNet-10,JUMP-10,HPA-10,SIM-10,STED-10
from-scratch-10,1.0,0.006709328960248736,0.000993490224700729,0.0017757324038530362,0.0017843142184666935,0.00020051952234127423
ImageNet-10,0.006709328960248736,1.0,0.10771169734244929,0.10771169734244929,0.11649447991250483,0.007324602612236238
JUMP-10,0.000993490224700729,0.10771169734244929,1.0,0.604989771767816,0.6383080417274075,0.07669710340604814
HPA-10,0.0017757324038530362,0.10771169734244929,0.604989771767816,1.0,0.702259379419386,0.05412596246459633
SIM-10,0.0017843142184666935,0.11649447991250483,0.6383080417274075,0.702259379419386,1.0,0.03440938630576785
STED-10,0.00020051952234127423,0.007324602612236238,0.07669710340604814,0.05412596246459633,0.03440938630576785,1.0
