,ImageNet-Full,JUMP-Full,HPA-Full,SIM-Full,STED-Full
ImageNet-Full,1.0,0.0610419323587186,0.04246404611393659,0.051083930952306136,0.0017328465095286776
JUMP-Full,0.0610419323587186,1.0,0.3135145467231685,0.4125970660514179,0.0012932337779556617
HPA-Full,0.04246404611393659,0.3135145467231685,1.0,0.6545245316978092,0.0017328465095286776
SIM-Full,0.051083930952306136,0.4125970660514179,0.6545245316978092,1.0,0.0012932337779556617
STED-Full,0.0017328465095286776,0.0012932337779556617,0.0017328465095286776,0.0012932337779556617,1.0
