,from-scratch-25,ImageNet-25,JUMP-25,HPA-25,SIM-25,STED-25
from-scratch-25,1.0,0.006709328960248736,0.0007226224277448756,0.000993490224700729,0.0013398572084107416,0.00019228367281753147
ImageNet-25,0.006709328960248736,1.0,0.04636062192603638,0.09254970370624077,0.18861230833372672,0.0050253639624679445
JUMP-25,0.0007226224277448756,0.04636062192603638,1.0,0.6055284644406126,0.8558412345519457,0.1374958946140034
HPA-25,0.000993490224700729,0.09254970370624077,0.6055284644406126,1.0,0.7867310002945169,0.06313169851438685
SIM-25,0.0013398572084107416,0.18861230833372672,0.8558412345519457,0.7867310002945169,1.0,0.006471791404039487
STED-25,0.00019228367281753147,0.0050253639624679445,0.1374958946140034,0.06313169851438685,0.006471791404039487,1.0
