,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
HPA-10,0.0054,0.0074,0.0069,0.0072,0.0016,0.6441,0.0012,0.0079,0.0056,0.0057,-1.0,0.1233,0.004,0.0069,0.0077,0.0061,0.0086,0.004,0.0087,0.0082,0.01,0.0062,0.0058,0.247,0.0066,0.008,0.0072,0.0076,0.0088,0.007
HPA-25,0.0026,0.0206,0.0024,0.0032,0.0008,0.1294,0.3097,0.0045,0.0023,0.003,0.1233,-1.0,0.0017,0.0031,0.0059,0.0023,0.003,0.0016,0.0034,0.0025,0.0091,0.0088,0.0073,0.0274,0.0032,0.0081,0.0085,0.0084,0.0067,0.0031
HPA-50,0.0037,0.0047,0.008,0.0082,0.002,0.0026,0.0069,0.1075,0.0073,0.0069,0.004,0.0017,-1.0,0.0084,0.0075,0.005,0.6805,0.0056,0.0074,0.0073,0.0031,0.0066,0.003,0.0034,0.0079,0.0052,0.0046,0.0049,0.0056,0.2046
HPA-100,0.0067,0.0083,0.0142,0.0786,0.0011,0.0045,0.0073,0.0061,0.0076,0.0074,0.0069,0.0031,0.0084,-1.0,0.0071,0.006,0.0066,0.9366,0.0096,0.0082,0.0088,0.0088,0.0055,0.0063,0.1331,0.0088,0.0086,0.0066,0.0079,0.0066
HPA-Full,0.0076,0.0097,0.0084,0.0087,0.5926,0.0064,0.0077,0.006,0.008,0.035,0.0077,0.0059,0.0075,0.0071,-1.0,0.0091,0.0084,0.0076,0.0088,0.0031,0.0083,0.0077,0.0076,0.0069,0.0065,0.0086,0.0076,0.0074,0.0081,0.0086
JUMP-10,0.0581,0.0489,0.0073,0.0078,0.0014,0.0057,0.0076,0.0256,0.0049,0.0077,0.0061,0.0023,0.005,0.006,0.0091,-1.0,0.1099,0.0051,0.0084,0.0087,0.0065,0.0071,0.0038,0.0054,0.0069,0.006,0.0083,0.0067,0.0064,0.0896
JUMP-25,0.016,0.0149,0.0738,0.0093,0.0015,0.0056,0.0066,0.8017,0.0692,0.007,0.0086,0.003,0.6805,0.0066,0.0084,0.1099,-1.0,0.014,0.0072,0.0071,0.0085,0.0087,0.0056,0.0079,0.0079,0.0075,0.0087,0.0063,0.0065,0.7945
JUMP-50,0.0052,0.0039,0.0319,0.0902,0.0039,0.0027,0.0039,0.003,0.0055,0.0083,0.004,0.0016,0.0056,0.9366,0.0076,0.0051,0.014,-1.0,0.0071,0.0092,0.0034,0.0047,0.0034,0.0045,0.2094,0.0056,0.0053,0.0044,0.0052,0.0046
JUMP-100,0.0084,0.0091,0.0079,0.062,0.0013,0.0055,0.0091,0.0068,0.0069,0.0071,0.0087,0.0034,0.0074,0.0096,0.0088,0.0084,0.0072,0.0071,-1.0,0.0076,0.0075,0.0079,0.0054,0.0062,0.0157,0.0096,0.0088,0.0083,0.0095,0.0071
JUMP-Full,0.0077,0.0069,0.009,0.008,0.0073,0.0049,0.0081,0.0052,0.0086,0.0087,0.0082,0.0025,0.0073,0.0082,0.0031,0.0087,0.0071,0.0092,0.0076,-1.0,0.0083,0.0072,0.0064,0.0058,0.0068,0.0084,0.0072,0.0064,0.0069,0.0066
ImageNet-10,0.0081,0.0082,0.0082,0.0088,0.0013,0.0075,0.0016,0.0091,0.0071,0.007,0.01,0.0091,0.0031,0.0088,0.0083,0.0065,0.0085,0.0034,0.0075,0.0083,-1.0,0.0244,0.006,0.009,0.0077,0.0469,0.008,0.053,0.0231,0.0072
ImageNet-25,0.0076,0.0098,0.0066,0.0092,0.0013,0.0059,0.0019,0.0087,0.0057,0.0072,0.0062,0.0088,0.0066,0.0088,0.0077,0.0071,0.0087,0.0047,0.0079,0.0072,0.0244,-1.0,0.1402,0.0085,0.0073,0.0068,0.006,0.0061,0.007,0.0083
ImageNet-50,0.006,0.0061,0.0057,0.0053,0.0011,0.0066,0.001,0.0051,0.0043,0.0049,0.0058,0.0073,0.003,0.0055,0.0076,0.0038,0.0056,0.0034,0.0054,0.0064,0.006,0.1402,-1.0,0.0047,0.0057,0.0078,0.007,0.0064,0.0078,0.0053
ImageNet-100,0.0069,0.0074,0.0071,0.0058,0.0021,0.059,0.0016,0.0078,0.0071,0.007,0.247,0.0274,0.0034,0.0063,0.0069,0.0054,0.0079,0.0045,0.0062,0.0058,0.009,0.0085,0.0047,-1.0,0.0059,0.0089,0.0074,0.0086,0.0078,0.0047
ImageNet-Full,0.0068,0.0068,0.0076,0.4429,0.0017,0.0048,0.0085,0.0047,0.0078,0.0071,0.0066,0.0032,0.0079,0.1331,0.0065,0.0069,0.0079,0.2094,0.0157,0.0068,0.0077,0.0073,0.0057,0.0059,-1.0,0.0088,0.0063,0.0066,0.0082,0.008
from-scratch-10,0.0094,0.0072,0.008,0.0058,0.0017,0.0077,0.0039,0.0085,0.0073,0.0074,0.008,0.0081,0.0052,0.0088,0.0086,0.006,0.0075,0.0056,0.0096,0.0084,0.0469,0.0068,0.0078,0.0089,0.0088,-1.0,0.11,0.4728,0.3439,0.0077
from-scratch-25,0.0077,0.0081,0.0083,0.0073,0.0018,0.0089,0.0014,0.0095,0.0058,0.0064,0.0072,0.0085,0.0046,0.0086,0.0076,0.0083,0.0087,0.0053,0.0088,0.0072,0.008,0.006,0.007,0.0074,0.0063,0.11,-1.0,0.0243,0.3039,0.0084
from-scratch-50,0.0075,0.0071,0.0072,0.0065,0.0015,0.0068,0.0019,0.0068,0.0053,0.0084,0.0076,0.0084,0.0049,0.0066,0.0074,0.0067,0.0063,0.0044,0.0083,0.0064,0.053,0.0061,0.0064,0.0086,0.0066,0.4728,0.0243,-1.0,0.0627,0.0057
from-scratch-100,0.008,0.0086,0.0066,0.0096,0.0018,0.0077,0.0023,0.0073,0.0065,0.0076,0.0088,0.0067,0.0056,0.0079,0.0081,0.0064,0.0065,0.0052,0.0095,0.0069,0.0231,0.007,0.0078,0.0078,0.0082,0.3439,0.3039,0.0627,-1.0,0.0077
from-scratch-Full,0.0068,0.0066,0.0222,0.0081,0.0013,0.0056,0.0063,0.9174,0.0065,0.0069,0.007,0.0031,0.2046,0.0066,0.0086,0.0896,0.7945,0.0046,0.0071,0.0066,0.0072,0.0083,0.0053,0.0047,0.008,0.0077,0.0084,0.0057,0.0077,-1.0
