,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.8862,0.0072,0.0076,0.0014,0.005,0.0067,0.0073,0.0055,0.0061,0.0054,0.0026,0.0037,0.0067,0.0076,0.0581,0.016,0.0052,0.0084,0.0077,0.0081,0.0076,0.006,0.0069,0.0068,0.0094,0.0077,0.0075,0.008,0.0068
STED-25,0.8862,-1.0,0.0072,0.0058,0.002,0.0039,0.0152,0.0089,0.0057,0.0097,0.0074,0.0206,0.0047,0.0083,0.0097,0.0489,0.0149,0.0039,0.0091,0.0069,0.0082,0.0098,0.0061,0.0074,0.0068,0.0072,0.0081,0.0071,0.0086,0.0066
STED-50,0.0072,0.0072,-1.0,0.0084,0.0011,0.0041,0.0067,0.0138,0.7253,0.0083,0.0069,0.0024,0.008,0.0142,0.0084,0.0073,0.0738,0.0319,0.0079,0.009,0.0082,0.0066,0.0057,0.0071,0.0076,0.008,0.0083,0.0072,0.0066,0.0222
STED-100,0.0076,0.0058,0.0084,-1.0,0.0017,0.005,0.0068,0.0045,0.0067,0.0082,0.0072,0.0032,0.0082,0.0786,0.0087,0.0078,0.0093,0.0902,0.062,0.008,0.0088,0.0092,0.0053,0.0058,0.4429,0.0058,0.0073,0.0065,0.0096,0.0081
STED-Full,0.0014,0.002,0.0011,0.0017,-1.0,0.0009,0.0016,0.0011,0.0018,0.0016,0.0016,0.0008,0.002,0.0011,0.5926,0.0014,0.0015,0.0039,0.0013,0.0073,0.0013,0.0013,0.0011,0.0021,0.0017,0.0017,0.0018,0.0015,0.0018,0.0013
SIM-10,0.005,0.0039,0.0041,0.005,0.0009,-1.0,0.0019,0.0061,0.0035,0.0047,0.6441,0.1294,0.0026,0.0045,0.0064,0.0057,0.0056,0.0027,0.0055,0.0049,0.0075,0.0059,0.0066,0.059,0.0048,0.0077,0.0089,0.0068,0.0077,0.0056
SIM-25,0.0067,0.0152,0.0067,0.0068,0.0016,0.0019,-1.0,0.0093,0.0078,0.0072,0.0012,0.3097,0.0069,0.0073,0.0077,0.0076,0.0066,0.0039,0.0091,0.0081,0.0016,0.0019,0.001,0.0016,0.0085,0.0039,0.0014,0.0019,0.0023,0.0063
SIM-50,0.0073,0.0089,0.0138,0.0045,0.0011,0.0061,0.0093,-1.0,0.0042,0.0047,0.0079,0.0045,0.1075,0.0061,0.006,0.0256,0.8017,0.003,0.0068,0.0052,0.0091,0.0087,0.0051,0.0078,0.0047,0.0085,0.0095,0.0068,0.0073,0.9174
SIM-100,0.0055,0.0057,0.7253,0.0067,0.0018,0.0035,0.0078,0.0042,-1.0,0.0077,0.0056,0.0023,0.0073,0.0076,0.008,0.0049,0.0692,0.0055,0.0069,0.0086,0.0071,0.0057,0.0043,0.0071,0.0078,0.0073,0.0058,0.0053,0.0065,0.0065
SIM-Full,0.0061,0.0097,0.0083,0.0082,0.0016,0.0047,0.0072,0.0047,0.0077,-1.0,0.0057,0.003,0.0069,0.0074,0.035,0.0077,0.007,0.0083,0.0071,0.0087,0.007,0.0072,0.0049,0.007,0.0071,0.0074,0.0064,0.0084,0.0076,0.0069
