,0,1,2,3,4
STED-10,0.11467348784208298,0.09950200468301773,0.10329067707061768,0.09773599356412888,0.10821738839149475
STED-25,0.08406324684619904,0.0761527344584465,0.07248863577842712,0.07060137391090393,0.07153491675853729
STED-50,0.07673231512308121,0.06106971949338913,0.06667619198560715,0.06309553980827332,0.07143962383270264
STED-100,0.07592025399208069,0.07447570562362671,0.0775420144200325,0.07207871973514557,0.08846382051706314
STED-Full,0.09257976710796356,0.09634681046009064,0.09859470278024673,0.09652261435985565,0.10182806849479675
SIM-10,0.08639978617429733,0.07210204005241394,0.08290696889162064,0.07749088108539581,0.0795435905456543
SIM-25,0.05710715055465698,0.05169305577874184,0.057822711765766144,0.04985196143388748,0.04950108006596565
SIM-50,0.04304253309965134,0.045668259263038635,0.04049699753522873,0.042408958077430725,0.05182608217000961
SIM-100,0.04536471515893936,0.049386560916900635,0.04825272038578987,0.048761606216430664,0.047197118401527405
SIM-Full,0.06252042949199677,0.05852288380265236,0.06494195759296417,0.0635991171002388,0.06160338968038559
HPA-10,0.11737405508756638,0.10725949704647064,0.10372434556484222,0.09787314385175705,0.11647207289934158
HPA-25,0.09578016400337219,0.08873459696769714,0.07772711664438248,0.08493752032518387,0.0867241695523262
HPA-50,0.087522491812706,0.0775211751461029,0.08174338936805725,0.08139518648386002,0.08612048625946045
HPA-100,0.0976252630352974,0.09331785887479782,0.09660447388887405,0.09503185003995895,0.09487803280353546
HPA-Full,0.10753946751356125,0.11228150874376297,0.11136981099843979,0.12087692320346832,0.11024512350559235
JUMP-10,0.08790373802185059,0.07385709136724472,0.07199329137802124,0.07921784371137619,0.07852672785520554
JUMP-25,0.05876390263438225,0.049561019986867905,0.0519174300134182,0.04975743964314461,0.04698846489191055
JUMP-50,0.04749034345149994,0.045319221913814545,0.05306475609540939,0.044820453971624374,0.05175095796585083
JUMP-100,0.04557424783706665,0.05133867636322975,0.054535411298274994,0.0503021702170372,0.052650537341833115
JUMP-Full,0.06736969947814941,0.06860511004924774,0.0661471039056778,0.06598416715860367,0.06722991168498993
ImageNet-10,0.03402151167392731,0.02578684315085411,0.041618917137384415,0.04058230295777321,0.041906408965587616
ImageNet-25,0.02538434788584709,0.025937415659427643,0.028935987502336502,0.023922665044665337,0.024927251040935516
ImageNet-50,0.020336486399173737,0.018915578722953796,0.024775194004178047,0.021348318085074425,0.02024519443511963
ImageNet-100,0.017341893166303635,0.020106177777051926,0.019812677055597305,0.017337564378976822,0.018673313781619072
ImageNet-Full,0.03354731947183609,0.03275006264448166,0.03380311653017998,0.03468472138047218,0.03545164689421654
