,from-scratch-100,ImageNet-100,JUMP-100,HPA-100,SIM-100,STED-100
from-scratch-100,1.0,0.0005439005439005439,0.0006741436454681781,0.0001554001554001554,0.0001554001554001554,0.0003926690730081587
ImageNet-100,0.0005439005439005439,1.0,0.11340239775427491,0.1911421911421911,0.28686868686868683,0.008231007118793661
JUMP-100,0.0006741436454681781,0.11340239775427491,1.0,0.7009192736582359,0.9055312759985029,0.04463134454212269
HPA-100,0.0001554001554001554,0.1911421911421911,0.7009192736582359,1.0,0.8827505827505828,0.011772051206276392
SIM-100,0.0001554001554001554,0.28686868686868683,0.9055312759985029,0.8827505827505828,1.0,0.0014083085012076702
STED-100,0.0003926690730081587,0.008231007118793661,0.04463134454212269,0.011772051206276392,0.0014083085012076702,1.0
