,from-scratch-Full,ImageNet-Full,JUMP-Full,HPA-Full,SIM-Full,STED-Full
from-scratch-Full,1.0,0.010808196781083412,0.0013398572084107416,0.0009988450486361513,0.0013398572084107416,0.00017909714458578683
ImageNet-Full,0.010808196781083412,1.0,0.23950994616320598,0.297740620580614,0.5,0.022677975684558295
JUMP-Full,0.0013398572084107416,0.23950994616320598,1.0,0.5527141437522579,0.8745008647785387,0.02657251252102006
HPA-Full,0.0009988450486361513,0.297740620580614,0.5527141437522579,1.0,0.9211478062684612,0.032606203947945396
SIM-Full,0.0013398572084107416,0.5,0.8745008647785387,0.9211478062684612,1.0,0.0037160785109685585
STED-Full,0.00017909714458578683,0.022677975684558295,0.02657251252102006,0.032606203947945396,0.0037160785109685585,1.0
