,ImageNet-10,JUMP-10,HPA-10,SIM-10,STED-10
ImageNet-10,1.0,0.03177649390470013,0.02596879786197251,0.026029384375300103,0.002965228805391922
JUMP-10,0.03177649390470013,1.0,0.517708746439064,0.5352543881530759,0.02946133233499406
HPA-10,0.02596879786197251,0.517708746439064,1.0,0.4647456118469241,0.01928934100198506
SIM-10,0.026029384375300103,0.5352543881530759,0.4647456118469241,1.0,0.016118208229794748
STED-10,0.002965228805391922,0.02946133233499406,0.01928934100198506,0.016118208229794748,1.0
