,ImageNet-100,JUMP-100,HPA-100,SIM-100,STED-100
ImageNet-100,1.0,0.020210673190308125,0.08026418026418025,0.05745822319820628,0.0009007179347713635
JUMP-100,0.020210673190308125,1.0,0.6822467214530329,0.6822467214530329,0.058958680025871235
HPA-100,0.08026418026418025,0.6822467214530329,1.0,0.5,0.014433159693737405
SIM-100,0.05745822319820628,0.6822467214530329,0.5,1.0,0.010955484901026701
STED-100,0.0009007179347713635,0.058958680025871235,0.014433159693737405,0.010955484901026701,1.0
