,from-scratch-50,ImageNet-50,JUMP-50,HPA-50,SIM-50,STED-50
from-scratch-50,1.0,0.0030966590870221385,0.0005398952751010483,0.0003961341019251454,0.0005431233129110169,0.00017909714458578683
ImageNet-50,0.0030966590870221385,1.0,0.07842294494754666,0.17679420321353628,0.46481826225353534,0.003985779842389914
JUMP-50,0.0005398952751010483,0.07842294494754666,1.0,0.6383080417274075,0.8746231900352366,0.03442533529827246
HPA-50,0.0003961341019251454,0.17679420321353628,0.6383080417274075,1.0,0.9333398922051863,0.013777478684888288
SIM-50,0.0005431233129110169,0.46481826225353534,0.8746231900352366,0.9333398922051863,1.0,0.002149884084290582
STED-50,0.00017909714458578683,0.003985779842389914,0.03442533529827246,0.013777478684888288,0.002149884084290582,1.0
