,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0064,0.0062,0.0036,0.005,0.0516,0.2194,0.0053,0.003,0.0036,0.0444,0.1013,0.0019,0.0044,0.0008,0.0057,0.0752,0.0047,0.0038,0.0048,0.0071,0.0041,0.0085,0.3248,0.0033,0.0087,0.0052,0.006,0.0075,0.0038
STED-25,0.0064,-1.0,0.0052,0.0031,0.0066,0.0065,0.0059,0.2886,0.0039,0.0059,0.0081,0.008,0.184,0.0051,0.0008,0.0057,0.0063,0.0225,0.0058,0.0035,0.0073,0.0066,0.0089,0.0073,0.005,0.007,0.0053,0.0052,0.0086,0.0045
STED-50,0.0062,0.0052,-1.0,0.0016,0.0045,0.0075,0.0065,0.0086,0.5586,0.0015,0.0075,0.0066,0.008,0.0353,0.0002,0.0066,0.0079,0.0073,0.1201,0.001,0.0078,0.0056,0.0094,0.0076,0.0012,0.008,0.0073,0.0072,0.0066,0.0168
STED-100,0.0036,0.0031,0.0016,-1.0,0.0072,0.0069,0.0023,0.0025,0.0049,0.0085,0.0065,0.0062,0.007,0.0041,0.0039,0.0033,0.0066,0.0044,0.005,0.008,0.0057,0.002,0.0058,0.0041,0.6164,0.0038,0.0024,0.002,0.0072,0.0537
STED-Full,0.005,0.0066,0.0045,0.0072,-1.0,0.0098,0.0058,0.0062,0.0075,0.0087,0.0075,0.0097,0.0068,0.0057,0.0065,0.0054,0.0082,0.0071,0.0078,0.6618,0.0076,0.0062,0.009,0.0079,0.0087,0.0075,0.0053,0.0065,0.0082,0.0079
SIM-10,0.0516,0.0065,0.0075,0.0069,0.0098,-1.0,0.0094,0.0085,0.0066,0.0068,0.3164,0.0046,0.0047,0.0072,0.0038,0.0037,0.3954,0.007,0.0075,0.0074,0.0044,0.0005,0.0055,0.4107,0.0078,0.0049,0.0029,0.0018,0.0047,0.0091
SIM-25,0.2194,0.0059,0.0065,0.0023,0.0058,0.0094,-1.0,0.0081,0.0036,0.0039,0.0078,0.3983,0.0031,0.0047,0.0008,0.0065,0.0066,0.0045,0.0065,0.0049,0.0073,0.0044,0.007,0.0338,0.0055,0.009,0.0051,0.0056,0.0095,0.0045
SIM-50,0.0053,0.2886,0.0086,0.0025,0.0062,0.0085,0.0081,-1.0,0.0035,0.004,0.0084,0.0075,0.0026,0.0067,0.0012,0.0066,0.0072,0.0243,0.0068,0.004,0.0088,0.0048,0.007,0.0073,0.0039,0.008,0.0064,0.0043,0.0073,0.0047
SIM-100,0.003,0.0039,0.5586,0.0049,0.0075,0.0066,0.0036,0.0035,-1.0,0.0081,0.0063,0.0061,0.0076,0.0234,0.0024,0.003,0.007,0.0064,0.0457,0.0086,0.006,0.0025,0.0067,0.0065,0.0078,0.0054,0.0034,0.0034,0.0072,0.0257
SIM-Full,0.0036,0.0059,0.0015,0.0085,0.0087,0.0068,0.0039,0.004,0.0081,-1.0,0.0071,0.0078,0.0071,0.0065,0.4376,0.0054,0.0073,0.0078,0.0075,0.1799,0.0067,0.0023,0.0088,0.007,0.0085,0.0073,0.0027,0.0048,0.0081,0.0077
HPA-10,0.0444,0.0081,0.0075,0.0065,0.0075,0.3164,0.0078,0.0084,0.0063,0.0071,-1.0,0.0031,0.0055,0.0078,0.0026,0.0034,0.2075,0.0074,0.0094,0.0084,0.0074,0.0015,0.0285,0.201,0.0074,0.006,0.0017,0.0036,0.0081,0.008
HPA-25,0.1013,0.008,0.0066,0.0062,0.0097,0.0046,0.3983,0.0075,0.0061,0.0078,0.0031,-1.0,0.0058,0.0087,0.0067,0.0013,0.0052,0.0069,0.0073,0.0068,0.0026,0.0006,0.0037,0.0212,0.0072,0.0023,0.0008,0.001,0.0019,0.0081
HPA-50,0.0019,0.184,0.008,0.007,0.0068,0.0047,0.0031,0.0026,0.0076,0.0071,0.0055,0.0058,-1.0,0.0084,0.0028,0.0023,0.0041,0.0058,0.0074,0.0073,0.0038,0.0034,0.0061,0.0044,0.0079,0.0042,0.0015,0.0028,0.0053,0.0069
HPA-100,0.0044,0.0051,0.0353,0.0041,0.0057,0.0072,0.0047,0.0067,0.0234,0.0065,0.0078,0.0087,0.0084,-1.0,0.0007,0.0042,0.0066,0.0074,0.1917,0.006,0.0081,0.0054,0.0085,0.0059,0.0216,0.0085,0.0053,0.005,0.0079,0.2087
HPA-Full,0.0008,0.0008,0.0002,0.0039,0.0065,0.0038,0.0008,0.0012,0.0024,0.4376,0.0026,0.0067,0.0028,0.0007,-1.0,0.0012,0.0056,0.0012,0.0015,0.3294,0.0018,0.0003,0.003,0.0011,0.0014,0.0014,0.0005,0.001,0.0017,0.0014
JUMP-10,0.0057,0.0057,0.0066,0.0033,0.0054,0.0037,0.0065,0.0066,0.003,0.0054,0.0034,0.0013,0.0023,0.0042,0.0012,-1.0,0.0013,0.0048,0.0046,0.0051,0.0076,0.0056,0.62,0.0058,0.004,0.0072,0.0067,0.0056,0.0077,0.0051
JUMP-25,0.0752,0.0063,0.0079,0.0066,0.0082,0.3954,0.0066,0.0072,0.007,0.0073,0.2075,0.0052,0.0041,0.0066,0.0056,0.0013,-1.0,0.0074,0.0072,0.0071,0.0046,0.001,0.0048,0.5486,0.0079,0.0029,0.001,0.0014,0.003,0.0075
JUMP-50,0.0047,0.0225,0.0073,0.0044,0.0071,0.007,0.0045,0.0243,0.0064,0.0078,0.0074,0.0069,0.0058,0.0074,0.0012,0.0048,0.0074,-1.0,0.0066,0.0084,0.006,0.0028,0.0083,0.0069,0.0087,0.008,0.0029,0.0046,0.0082,0.0066
JUMP-100,0.0038,0.0058,0.1201,0.005,0.0078,0.0075,0.0065,0.0068,0.0457,0.0075,0.0094,0.0073,0.0074,0.1917,0.0015,0.0046,0.0072,0.0066,-1.0,0.0076,0.0072,0.0034,0.0078,0.006,0.008,0.0083,0.004,0.0029,0.0095,0.0534
JUMP-Full,0.0048,0.0035,0.001,0.008,0.6618,0.0074,0.0049,0.004,0.0086,0.1799,0.0084,0.0068,0.0073,0.006,0.3294,0.0051,0.0071,0.0084,0.0076,-1.0,0.0074,0.002,0.0088,0.0066,0.008,0.0078,0.0032,0.0036,0.0069,0.0066
ImageNet-10,0.0071,0.0073,0.0078,0.0057,0.0076,0.0044,0.0073,0.0088,0.006,0.0067,0.0074,0.0026,0.0038,0.0081,0.0018,0.0076,0.0046,0.006,0.0072,0.0074,-1.0,0.0069,0.0039,0.0083,0.0071,0.0067,0.4033,0.0073,0.0087,0.0065
ImageNet-25,0.0041,0.0066,0.0056,0.002,0.0062,0.0005,0.0044,0.0048,0.0025,0.0023,0.0015,0.0006,0.0034,0.0054,0.0003,0.0056,0.001,0.0028,0.0034,0.002,0.0069,-1.0,0.0024,0.0044,0.0021,0.0066,0.0041,0.2333,0.0103,0.0031
ImageNet-50,0.0085,0.0089,0.0094,0.0058,0.009,0.0055,0.007,0.007,0.0067,0.0088,0.0285,0.0037,0.0061,0.0085,0.003,0.62,0.0048,0.0083,0.0078,0.0088,0.0039,0.0024,-1.0,0.0064,0.0083,0.006,0.0019,0.0037,0.0401,0.0088
ImageNet-100,0.3248,0.0073,0.0076,0.0041,0.0079,0.4107,0.0338,0.0073,0.0065,0.007,0.201,0.0212,0.0044,0.0059,0.0011,0.0058,0.5486,0.0069,0.006,0.0066,0.0083,0.0044,0.0064,-1.0,0.0062,0.0082,0.0041,0.0048,0.0075,0.0051
ImageNet-Full,0.0033,0.005,0.0012,0.6164,0.0087,0.0078,0.0055,0.0039,0.0078,0.0085,0.0074,0.0072,0.0079,0.0216,0.0014,0.004,0.0079,0.0087,0.008,0.008,0.0071,0.0021,0.0083,0.0062,-1.0,0.0085,0.0029,0.0039,0.0082,0.0728
from-scratch-10,0.0087,0.007,0.008,0.0038,0.0075,0.0049,0.009,0.008,0.0054,0.0073,0.006,0.0023,0.0042,0.0085,0.0014,0.0072,0.0029,0.008,0.0083,0.0078,0.0067,0.0066,0.006,0.0082,0.0085,-1.0,0.0072,0.007,0.0081,0.0073
from-scratch-25,0.0052,0.0053,0.0073,0.0024,0.0053,0.0029,0.0051,0.0064,0.0034,0.0027,0.0017,0.0008,0.0015,0.0053,0.0005,0.0067,0.001,0.0029,0.004,0.0032,0.4033,0.0041,0.0019,0.0041,0.0029,0.0072,-1.0,0.006,0.0037,0.0034
from-scratch-50,0.006,0.0052,0.0072,0.002,0.0065,0.0018,0.0056,0.0043,0.0034,0.0048,0.0036,0.001,0.0028,0.005,0.001,0.0056,0.0014,0.0046,0.0029,0.0036,0.0073,0.2333,0.0037,0.0048,0.0039,0.007,0.006,-1.0,0.0499,0.0032
from-scratch-100,0.0075,0.0086,0.0066,0.0072,0.0082,0.0047,0.0095,0.0073,0.0072,0.0081,0.0081,0.0019,0.0053,0.0079,0.0017,0.0077,0.003,0.0082,0.0095,0.0069,0.0087,0.0103,0.0401,0.0075,0.0082,0.0081,0.0037,0.0499,-1.0,0.0079
from-scratch-Full,0.0038,0.0045,0.0168,0.0537,0.0079,0.0091,0.0045,0.0047,0.0257,0.0077,0.008,0.0081,0.0069,0.2087,0.0014,0.0051,0.0075,0.0066,0.0534,0.0066,0.0065,0.0031,0.0088,0.0051,0.0728,0.0073,0.0034,0.0032,0.0079,-1.0
