,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
HPA-10,0.0838,0.0066,0.0186,0.0073,0.0074,0.0257,0.0085,0.6502,0.2146,0.0074,-1.0,0.0166,0.8869,0.8783,0.0151,0.0007,0.0069,0.0372,0.0045,0.0056,0.0067,0.0088,0.0088,0.0076,0.0068
HPA-25,0.1105,0.9833,0.338,0.6445,0.0059,0.0405,0.3944,0.0942,0.1938,0.0067,0.0166,-1.0,0.0239,0.0435,0.2602,0.8154,0.0754,0.0624,0.6772,0.0262,0.008,0.0073,0.0065,0.0074,0.0082
HPA-50,0.1745,0.0077,0.1101,0.0409,0.0071,0.2479,0.0075,0.5838,0.3417,0.0081,0.8869,0.0239,-1.0,0.6807,0.0238,0.0062,0.0073,0.2384,0.0068,0.0041,0.0037,0.0054,0.0066,0.0039,0.0072
HPA-100,0.4779,0.0251,0.2679,0.0909,0.0084,0.8093,0.0223,0.8717,0.5021,0.0078,0.8783,0.0435,0.6807,-1.0,0.0361,0.0243,0.0075,0.6298,0.0434,0.0039,0.0032,0.0044,0.0042,0.0051,0.0063
HPA-Full,0.0463,0.1567,0.0863,0.1403,0.0984,0.0353,0.4649,0.0456,0.0542,0.5511,0.0151,0.2602,0.0238,0.0361,-1.0,0.1356,0.8183,0.0382,0.1235,0.8542,0.0073,0.0069,0.0073,0.0081,0.0095
JUMP-10,0.0376,0.6651,0.2914,0.7203,0.0074,0.0004,0.1956,0.0776,0.2208,0.0106,0.0007,0.8154,0.0062,0.0243,0.1356,-1.0,0.0068,0.0183,0.7429,0.0042,0.0011,0.0007,0.0018,0.0019,0.004
JUMP-25,0.0075,0.0152,0.0232,0.0426,0.0068,0.0046,0.355,0.0033,0.0066,0.0291,0.0069,0.0754,0.0073,0.0075,0.8183,0.0068,-1.0,0.0064,0.0141,0.2617,0.0061,0.0075,0.0066,0.008,0.0078
JUMP-50,0.7312,0.0153,0.3756,0.09,0.0086,0.6622,0.0139,0.6925,0.8679,0.0066,0.0372,0.0624,0.2384,0.6298,0.0382,0.0183,0.0064,-1.0,0.0248,0.0056,0.0045,0.0051,0.0042,0.0036,0.0046
JUMP-100,0.0815,0.4574,0.3859,0.8989,0.0078,0.0027,0.131,0.1317,0.3187,0.008,0.0045,0.6772,0.0068,0.0434,0.1235,0.7429,0.0141,0.0248,-1.0,0.0154,0.0057,0.005,0.0044,0.0058,0.0059
JUMP-Full,0.0032,0.008,0.0102,0.0104,0.0081,0.0009,0.0856,0.002,0.0051,0.3185,0.0056,0.0262,0.0041,0.0039,0.8542,0.0042,0.2617,0.0056,0.0154,-1.0,0.0041,0.0054,0.004,0.0054,0.0057
ImageNet-10,0.0076,0.0062,0.006,0.0073,0.0082,0.0069,0.0086,0.0084,0.0031,0.0077,0.0067,0.008,0.0037,0.0032,0.0073,0.0011,0.0061,0.0045,0.0057,0.0041,-1.0,0.5041,0.0714,0.1494,0.0506
ImageNet-25,0.0073,0.0075,0.0077,0.0071,0.0075,0.0068,0.0077,0.008,0.0033,0.0082,0.0088,0.0073,0.0054,0.0044,0.0069,0.0007,0.0075,0.0051,0.005,0.0054,0.5041,-1.0,0.0383,0.0722,0.3345
ImageNet-50,0.0066,0.0056,0.008,0.0072,0.006,0.007,0.0083,0.0075,0.0037,0.0087,0.0088,0.0065,0.0066,0.0042,0.0073,0.0018,0.0066,0.0042,0.0044,0.004,0.0714,0.0383,-1.0,0.6061,0.016
ImageNet-100,0.008,0.0076,0.0068,0.0094,0.0084,0.0081,0.0093,0.0083,0.0026,0.0087,0.0076,0.0074,0.0039,0.0051,0.0081,0.0019,0.008,0.0036,0.0058,0.0054,0.1494,0.0722,0.6061,-1.0,0.0106
ImageNet-Full,0.0063,0.0085,0.0085,0.0097,0.0072,0.0089,0.0084,0.008,0.0065,0.0086,0.0068,0.0082,0.0072,0.0063,0.0095,0.004,0.0078,0.0046,0.0059,0.0057,0.0506,0.3345,0.016,0.0106,-1.0
