,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.0268,0.5886,0.2566,0.0074,0.4264,0.0239,0.5648,0.9754,0.0074,0.0838,0.1105,0.1745,0.4779,0.0463,0.0376,0.0075,0.7312,0.0815,0.0032,0.0076,0.0073,0.0066,0.008,0.0063
STED-25,0.0268,-1.0,0.197,0.5007,0.0089,0.0021,0.2813,0.0535,0.1678,0.0075,0.0066,0.9833,0.0077,0.0251,0.1567,0.6651,0.0152,0.0153,0.4574,0.008,0.0062,0.0075,0.0056,0.0076,0.0085
STED-50,0.5886,0.197,-1.0,0.5204,0.0074,0.2351,0.088,0.3523,0.6421,0.0065,0.0186,0.338,0.1101,0.2679,0.0863,0.2914,0.0232,0.3756,0.3859,0.0102,0.006,0.0077,0.008,0.0068,0.0085
STED-100,0.2566,0.5007,0.5204,-1.0,0.0053,0.0291,0.1854,0.1772,0.339,0.0037,0.0073,0.6445,0.0409,0.0909,0.1403,0.7203,0.0426,0.09,0.8989,0.0104,0.0073,0.0071,0.0072,0.0094,0.0097
STED-Full,0.0074,0.0089,0.0074,0.0053,-1.0,0.004,0.0024,0.0042,0.008,0.0073,0.0074,0.0059,0.0071,0.0084,0.0984,0.0074,0.0068,0.0086,0.0078,0.0081,0.0082,0.0075,0.006,0.0084,0.0072
SIM-10,0.4264,0.0021,0.2351,0.0291,0.004,-1.0,0.0063,0.8441,0.6856,0.0044,0.0257,0.0405,0.2479,0.8093,0.0353,0.0004,0.0046,0.6622,0.0027,0.0009,0.0069,0.0068,0.007,0.0081,0.0089
SIM-25,0.0239,0.2813,0.088,0.1854,0.0024,0.0063,-1.0,0.0268,0.0596,0.0079,0.0085,0.3944,0.0075,0.0223,0.4649,0.1956,0.355,0.0139,0.131,0.0856,0.0086,0.0077,0.0083,0.0093,0.0084
SIM-50,0.5648,0.0535,0.3523,0.1772,0.0042,0.8441,0.0268,-1.0,0.6468,0.0032,0.6502,0.0942,0.5838,0.8717,0.0456,0.0776,0.0033,0.6925,0.1317,0.002,0.0084,0.008,0.0075,0.0083,0.008
SIM-100,0.9754,0.1678,0.6421,0.339,0.008,0.6856,0.0596,0.6468,-1.0,0.0077,0.2146,0.1938,0.3417,0.5021,0.0542,0.2208,0.0066,0.8679,0.3187,0.0051,0.0031,0.0033,0.0037,0.0026,0.0065
SIM-Full,0.0074,0.0075,0.0065,0.0037,0.0073,0.0044,0.0079,0.0032,0.0077,-1.0,0.0074,0.0067,0.0081,0.0078,0.5511,0.0106,0.0291,0.0066,0.008,0.3185,0.0077,0.0082,0.0087,0.0087,0.0086
