,0,1,2,3,4
STED-10,0.8101777059773829,0.8190630048465266,0.8206785137318255,0.8529886914378029,0.8327948303715671
STED-25,0.8319870759289176,0.8368336025848142,0.8432956381260097,0.8061389337641357,0.808562197092084
STED-50,0.8869143780290791,0.8796445880452343,0.9006462035541195,0.9054927302100162,0.9022617124394184
STED-100,0.907108239095315,0.9208400646203554,0.9321486268174475,0.9240710823909531,0.9353796445880452
STED-Full,0.9660743134087237,0.9596122778675282,0.9620355411954766,0.9612277867528272,0.9644588045234249
SIM-10,0.7657512116316639,0.7609046849757674,0.7617124394184168,0.7641357027463651,0.7576736672051696
SIM-25,0.8077544426494345,0.7996768982229402,0.7972536348949919,0.7851373182552503,0.784329563812601
SIM-50,0.864297253634895,0.8570274636510501,0.8683360258481422,0.8804523424878837,0.8707592891760905
SIM-100,0.8861066235864298,0.8941841680129241,0.8941841680129241,0.8990306946688207,0.8909531502423264
SIM-Full,0.9531502423263328,0.9579967689822294,0.9579967689822294,0.9579967689822294,0.9507269789983845
HPA-10,0.7600969305331179,0.7609046849757674,0.7487883683360258,0.7794830371567044,0.7439418416801292
HPA-25,0.7439418416801292,0.8093699515347335,0.7794830371567044,0.7819063004846527,0.7956381260096931
HPA-50,0.8723747980613893,0.8788368336025848,0.8788368336025848,0.8715670436187399,0.8780290791599353
HPA-100,0.9143780290791599,0.9208400646203554,0.9054927302100162,0.9087237479806138,0.907108239095315
HPA-Full,0.962843295638126,0.9579967689822294,0.9676898222940227,0.962843295638126,0.9693053311793215
JUMP-10,0.8586429725363489,0.8570274636510501,0.8247172859450727,0.8505654281098546,0.8554119547657512
JUMP-25,0.8812600969305331,0.8376413570274637,0.8634894991922456,0.8723747980613893,0.9006462035541195
JUMP-50,0.9079159935379645,0.9135702746365105,0.9168012924071083,0.8998384491114702,0.9200323101777059
JUMP-100,0.9434571890145396,0.9466882067851373,0.9369951534733441,0.925686591276252,0.9321486268174475
JUMP-Full,0.9741518578352181,0.9765751211631664,0.9709208400646203,0.981421647819063,0.975767366720517
ImageNet-10,0.617124394184168,0.6445880452342488,0.6155088852988692,0.6534733441033925,0.6494345718901454
ImageNet-25,0.672859450726979,0.6583198707592892,0.6688206785137318,0.6801292407108239,0.6470113085621971
ImageNet-50,0.6696284329563813,0.6995153473344103,0.6663974151857835,0.6882067851373183,0.6744749596122779
ImageNet-100,0.7358642972536349,0.7544426494345718,0.7649434571890146,0.7479806138933764,0.7399030694668821
ImageNet-Full,0.931340872374798,0.9119547657512116,0.9216478190630049,0.9168012924071083,0.9135702746365105
from-scratch-10,0.568659127625202,0.6195476575121163,0.6316639741518578,0.598546042003231,0.5508885298869144
from-scratch-25,0.5,0.5945072697899838,0.5775444264943457,0.5621970920840065,0.5169628432956381
from-scratch-50,0.6090468497576736,0.5912762520193862,0.622778675282714,0.5840064620355412,0.6268174474959612
from-scratch-100,0.567043618739903,0.5581583198707593,0.5775444264943457,0.6203554119547657,0.5484652665589661
from-scratch-Full,0.882875605815832,0.8626817447495961,0.8820678513731826,0.8537964458804523,0.8554119547657512
